subject,video,onset,offset,emotion
12,EP03_02,25,90,others
12,EP03_04,59,155,happiness
12,EP04_16,35,134,disgust
12,EP06_06,35,110,surprise
12,EP08_01,45,105,surprise
12,EP08_03,75,155,surprise
12,EP08_07,110,185,happiness
12,EP09_02,15,100,disgust
12,EP16_02,135,225,disgust
13,EP01_01,75,130,others
13,EP01_02,75,115,others
13,EP02_02,10,67,others
13,EP02_03,25,65,others
13,EP03_01,30,110,happiness
13,EP08_01,53,105,others
13,EP09_10,50,125,happiness
13,EP12_01,5,60,others
14,EP04_04f,10,85,others
14,EP09_03,5,40,happiness
14,EP09_04,20,105,happiness
14,EP09_06,10,90,happiness
15,EP03_02,15,75,happiness
15,EP04_02,20,110,surprise
15,EP08_02,20,77,disgust
16,EP01_05,65,155,happiness
16,EP01_08,72,109,repression
16,EP01_09f,50,162,others
16,EP04_02f,180,270,happiness
17,EP01_06,80,120,happiness
17,EP01_13,75,165,surprise
17,EP01_15,85,125,happiness
17,EP02_01,90,135,disgust
17,EP02_03,80,130,disgust
17,EP02_11,160,209,disgust
17,EP02_18f,90,180,repression
17,EP03_02,117,160,disgust
17,EP03_09,95,160,happiness
17,EP05_02,24,120,happiness
17,EP05_03,20,100,happiness
17,EP05_03f,10,75,repression
17,EP05_04,5,70,repression
17,EP05_09,120,195,repression
17,EP05_10,110,150,repression
17,EP06_04,70,160,disgust
17,EP06_07,215,245,happiness
17,EP06_08,155,230,repression
17,EP07_01,20,114,disgust
17,EP08_02,20,87,disgust
17,EP08_03,50,83,others
17,EP10_06,103,160,repression
17,EP11_01,8,52,disgust
17,EP11_02,35,120,disgust
17,EP12_03,130,183,repression
17,EP13_01,145,190,others
17,EP13_03,50,135,disgust
17,EP13_04,85,120,disgust
17,EP13_06,85,130,disgust
17,EP13_09,5,100,happiness
17,EP15_04,108,184,repression
17,EP15_05,20,65,others
17,EP16_01f,7,70,disgust
17,EP18_07,35,102,disgust
18,EP08_01,110,146,others
18,EP18_01,65,125,others
18,EP19_01,94,139,others
19,EP01_01f,120,219,happiness
19,EP01_02f,35,126,happiness
19,EP02_01,90,150,surprise
19,EP06_01f,145,200,surprise
19,EP06_02f,210,290,others
19,EP08_02,75,154,happiness
19,EP11_01f,60,115,others
19,EP11_04f,75,130,surprise
19,EP13_01,70,155,disgust
19,EP15_03f,50,100,others
19,EP16_01,85,135,disgust
19,EP16_02,60,100,disgust
19,EP19_01,65,100,others
19,EP19_02,105,150,surprise
19,EP19_03,60,115,surprise
20,EP01_03,75,125,disgust
20,EP03_02,44,110,others
20,EP06_03,30,60,disgust
20,EP07_04,95,150,others
20,EP10_02,130,215,others
20,EP12_01,40,105,others
20,EP13_02,70,120,others
20,EP15_03f,85,180,others
20,EP16_01,70,110,others
20,EP16_04,80,120,others
20,EP18_03,47,125,others
21,EP01_07,5,35,others
21,EP05_02,110,205,repression
22,EP01_12,49,145,repression
22,EP13_08,150,255,repression
23,EP02_01,35,129,happiness
23,EP03_14f,50,110,disgust
23,EP04_03f,15,114,repression
23,EP05_24f,105,170,repression
23,EP05_25f,50,130,disgust
23,EP07_01,35,95,others
23,EP12_02f,45,129,disgust
23,EP12_03,85,160,disgust
23,EP13_03,35,90,others
23,EP13_04,20,85,repression
23,EP13_07f,55,125,others
23,EP17_01,80,145,others
24,EP01_08,32,130,disgust
24,EP02_02f,70,105,disgust
24,EP08_02,120,180,others
24,EP10_01f,130,153,others
24,EP10_02,100,135,others
24,EP12_01,80,120,others
24,EP18_03,52,87,surprise
25,EP03_01,55,115,others
25,EP03_02,50,133,others
25,EP09_02,75,110,disgust
25,EP10_01,100,175,disgust
25,EP10_10,60,157,surprise
25,EP12_01,130,185,surprise
25,EP18_04f,75,115,disgust
26,EP03_10,115,200,happiness
26,EP07_28,30,70,others
26,EP07_37,91,189,others
26,EP08_04,30,88,others
26,EP09_04,30,90,disgust
26,EP09_09,45,100,disgust
26,EP13_01,3,60,others
26,EP13_02,31,115,happiness
26,EP13_11,19,100,disgust
26,EP16_01,25,75,disgust
26,EP18_44,10,70,disgust
26,EP18_46,30,100,others
26,EP18_47,5,85,disgust
26,EP18_49,15,79,disgust
26,EP18_50,77,160,disgust
26,EP18_51,20,80,disgust
